"","Station.name","Year","Month","Value","Variable","Variable2"
"1","Altaelva","2019",1,31.77266624,"DisMean_m3s","Norway"
"2","Altaelva","2019",2,26.68312451,"DisMean_m3s","Norway"
"3","Altaelva","2019",3,26.18318726,"DisMean_m3s","Norway"
"4","Altaelva","2019",4,47.18195708,"DisMean_m3s","Norway"
"5","Altaelva","2019",5,228.0259296,"DisMean_m3s","Norway"
"6","Altaelva","2019",6,294.1924734,"DisMean_m3s","Norway"
"7","Altaelva","2019",7,108.8067807,"DisMean_m3s","Norway"
"8","Altaelva","2019",8,56.20021371,"DisMean_m3s","Norway"
"9","Altaelva","2019",9,116.8423203,"DisMean_m3s","Norway"
"10","Altaelva","2019",10,73.30315492,"DisMean_m3s","Norway"
"11","Altaelva","2019",11,41.77420745,"DisMean_m3s","Norway"
"12","Altaelva","2019",12,36.70764634,"DisMean_m3s","Norway"
"13","Pasvikelva","2019",1,58.25873408,"DisMean_m3s","Norway"
"14","Pasvikelva","2019",2,57.82791408,"DisMean_m3s","Norway"
"15","Pasvikelva","2019",3,67.95631157,"DisMean_m3s","Norway"
"16","Pasvikelva","2019",4,355.5591062,"DisMean_m3s","Norway"
"17","Pasvikelva","2019",5,367.6401568,"DisMean_m3s","Norway"
"18","Pasvikelva","2019",6,276.4831742,"DisMean_m3s","Norway"
"19","Pasvikelva","2019",7,153.8360591,"DisMean_m3s","Norway"
"20","Pasvikelva","2019",8,79.26767528,"DisMean_m3s","Norway"
"21","Pasvikelva","2019",9,65.28556203,"DisMean_m3s","Norway"
"22","Pasvikelva","2019",10,78.00374927,"DisMean_m3s","Norway"
"23","Pasvikelva","2019",11,51.75861532,"DisMean_m3s","Norway"
"24","Pasvikelva","2019",12,48.36109856,"DisMean_m3s","Norway"
"25","Tanaelva","2019",1,54.66472667,"DisMean_m3s","Norway"
"26","Tanaelva","2019",2,45.6263294,"DisMean_m3s","Norway"
"27","Tanaelva","2019",3,48.66584063,"DisMean_m3s","Norway"
"28","Tanaelva","2019",4,208.6744074,"DisMean_m3s","Norway"
"29","Tanaelva","2019",5,516.0579438,"DisMean_m3s","Norway"
"30","Tanaelva","2019",6,430.0271303,"DisMean_m3s","Norway"
"31","Tanaelva","2019",7,168.3233764,"DisMean_m3s","Norway"
"32","Tanaelva","2019",8,107.6125683,"DisMean_m3s","Norway"
"33","Tanaelva","2019",9,148.5570755,"DisMean_m3s","Norway"
"34","Tanaelva","2019",10,86.36654292,"DisMean_m3s","Norway"
"35","Tanaelva","2019",11,58.78628939,"DisMean_m3s","Norway"
"36","Tanaelva","2019",12,47.99509577,"DisMean_m3s","Norway"
"37","Malselv","2019",1,21.63912927,"DisMean_m3s","Norway"
"38","Malselv","2019",2,22.6026963,"DisMean_m3s","Norway"
"39","Malselv","2019",3,22.83744193,"DisMean_m3s","Norway"
"40","Malselv","2019",4,75.93895325,"DisMean_m3s","Norway"
"41","Malselv","2019",5,178.4614247,"DisMean_m3s","Norway"
"42","Malselv","2019",6,219.1009947,"DisMean_m3s","Norway"
"43","Malselv","2019",7,111.2559147,"DisMean_m3s","Norway"
"44","Malselv","2019",8,57.63130807,"DisMean_m3s","Norway"
"45","Malselv","2019",9,49.24523287,"DisMean_m3s","Norway"
"46","Malselv","2019",10,29.17110577,"DisMean_m3s","Norway"
"47","Malselv","2019",11,19.4930963,"DisMean_m3s","Norway"
"48","Malselv","2019",12,18.56164181,"DisMean_m3s","Norway"
"49","Altaelva","2020",1,95.26436768,"DisMean_m3s","Norway"
"50","Altaelva","2020",2,92.72901165,"DisMean_m3s","Norway"
"51","Altaelva","2020",3,78.63720275,"DisMean_m3s","Norway"
"52","Altaelva","2020",4,68.80751073,"DisMean_m3s","Norway"
"53","Altaelva","2020",5,70.52791074,"DisMean_m3s","Norway"
"54","Altaelva","2020",6,557.123853,"DisMean_m3s","Norway"
"55","Altaelva","2020",7,181.7057733,"DisMean_m3s","Norway"
"56","Altaelva","2020",8,115.0159068,"DisMean_m3s","Norway"
"57","Altaelva","2020",9,87.80612482,"DisMean_m3s","Norway"
"58","Altaelva","2020",10,82.70185168,"DisMean_m3s","Norway"
"59","Altaelva","2020",11,93.49072134,"DisMean_m3s","Norway"
"60","Altaelva","2020",12,74.22168209,"DisMean_m3s","Norway"
"61","Pasvikelva","2020",1,51.72729332,"DisMean_m3s","Norway"
"62","Pasvikelva","2020",2,49.28426836,"DisMean_m3s","Norway"
"63","Pasvikelva","2020",3,48.49436343,"DisMean_m3s","Norway"
"64","Pasvikelva","2020",4,86.45369221,"DisMean_m3s","Norway"
"65","Pasvikelva","2020",5,708.0199835,"DisMean_m3s","Norway"
"66","Pasvikelva","2020",6,403.4396718,"DisMean_m3s","Norway"
"67","Pasvikelva","2020",7,223.2565519,"DisMean_m3s","Norway"
"68","Pasvikelva","2020",8,125.5472277,"DisMean_m3s","Norway"
"69","Pasvikelva","2020",9,88.77496182,"DisMean_m3s","Norway"
"70","Pasvikelva","2020",10,77.51557253,"DisMean_m3s","Norway"
"71","Pasvikelva","2020",11,92.12392614,"DisMean_m3s","Norway"
"72","Pasvikelva","2020",12,59.98197812,"DisMean_m3s","Norway"
"73","Tanaelva","2020",1,41.2978023,"DisMean_m3s","Norway"
"74","Tanaelva","2020",2,35.37350514,"DisMean_m3s","Norway"
"75","Tanaelva","2020",3,31.62106454,"DisMean_m3s","Norway"
"76","Tanaelva","2020",4,35.09030283,"DisMean_m3s","Norway"
"77","Tanaelva","2020",5,358.7465798,"DisMean_m3s","Norway"
"78","Tanaelva","2020",6,1161.665671,"DisMean_m3s","Norway"
"79","Tanaelva","2020",7,350.14732,"DisMean_m3s","Norway"
"80","Tanaelva","2020",8,190.8164054,"DisMean_m3s","Norway"
"81","Tanaelva","2020",9,143.3474304,"DisMean_m3s","Norway"
"82","Tanaelva","2020",10,99.92679044,"DisMean_m3s","Norway"
"83","Tanaelva","2020",11,104.6615016,"DisMean_m3s","Norway"
"84","Tanaelva","2020",12,81.02246021,"DisMean_m3s","Norway"
"85","Malselv","2020",1,26.02169872,"DisMean_m3s","Norway"
"86","Malselv","2020",2,18.99753942,"DisMean_m3s","Norway"
"87","Malselv","2020",3,19.12859041,"DisMean_m3s","Norway"
"88","Malselv","2020",4,31.03352345,"DisMean_m3s","Norway"
"89","Malselv","2020",5,92.40239046,"DisMean_m3s","Norway"
"90","Malselv","2020",6,448.5055592,"DisMean_m3s","Norway"
"91","Malselv","2020",7,232.6268386,"DisMean_m3s","Norway"
"92","Malselv","2020",8,126.3962711,"DisMean_m3s","Norway"
"93","Malselv","2020",9,87.15186752,"DisMean_m3s","Norway"
"94","Malselv","2020",10,57.75527382,"DisMean_m3s","Norway"
"95","Malselv","2020",11,57.28042665,"DisMean_m3s","Norway"
"96","Malselv","2020",12,35.88485195,"DisMean_m3s","Norway"
"97","Altaelva","2021",1,41.03814216,"DisMean_m3s","Norway"
"98","Altaelva","2021",2,39.52083216,"DisMean_m3s","Norway"
"99","Altaelva","2021",3,38.19919745,"DisMean_m3s","Norway"
"100","Altaelva","2021",4,49.25093355,"DisMean_m3s","Norway"
"101","Altaelva","2021",5,116.1973897,"DisMean_m3s","Norway"
"102","Altaelva","2021",6,411.1621948,"DisMean_m3s","Norway"
"103","Altaelva","2021",7,72.72182549,"DisMean_m3s","Norway"
"104","Altaelva","2021",8,53.58135098,"DisMean_m3s","Norway"
"105","Altaelva","2021",9,77.39712928,"DisMean_m3s","Norway"
"106","Altaelva","2021",10,70.23735509,"DisMean_m3s","Norway"
"107","Altaelva","2021",11,48.43773928,"DisMean_m3s","Norway"
"108","Altaelva","2021",12,40.56092545,"DisMean_m3s","Norway"
"109","Pasvikelva","2021",1,46.68030842,"DisMean_m3s","Norway"
"110","Pasvikelva","2021",2,53.56477839,"DisMean_m3s","Norway"
"111","Pasvikelva","2021",3,56.12621324,"DisMean_m3s","Norway"
"112","Pasvikelva","2021",4,238.7243453,"DisMean_m3s","Norway"
"113","Pasvikelva","2021",5,553.2786169,"DisMean_m3s","Norway"
"114","Pasvikelva","2021",6,321.8396137,"DisMean_m3s","Norway"
"115","Pasvikelva","2021",7,177.3034024,"DisMean_m3s","Norway"
"116","Pasvikelva","2021",8,163.8834251,"DisMean_m3s","Norway"
"117","Pasvikelva","2021",9,96.66955849,"DisMean_m3s","Norway"
"118","Pasvikelva","2021",10,134.114966,"DisMean_m3s","Norway"
"119","Pasvikelva","2021",11,116.02437,"DisMean_m3s","Norway"
"120","Pasvikelva","2021",12,74.5894346,"DisMean_m3s","Norway"
"121","Tanaelva","2021",1,59.89757861,"DisMean_m3s","Norway"
"122","Tanaelva","2021",2,51.78530187,"DisMean_m3s","Norway"
"123","Tanaelva","2021",3,46.01494688,"DisMean_m3s","Norway"
"124","Tanaelva","2021",4,79.46552703,"DisMean_m3s","Norway"
"125","Tanaelva","2021",5,291.2715555,"DisMean_m3s","Norway"
"126","Tanaelva","2021",6,739.344445,"DisMean_m3s","Norway"
"127","Tanaelva","2021",7,171.4918116,"DisMean_m3s","Norway"
"128","Tanaelva","2021",8,139.0938055,"DisMean_m3s","Norway"
"129","Tanaelva","2021",9,124.3078412,"DisMean_m3s","Norway"
"130","Tanaelva","2021",10,122.8566541,"DisMean_m3s","Norway"
"131","Tanaelva","2021",11,97.79060491,"DisMean_m3s","Norway"
"132","Tanaelva","2021",12,69.71324007,"DisMean_m3s","Norway"
"133","Malselv","2021",1,22.86903941,"DisMean_m3s","Norway"
"134","Malselv","2021",2,17.41179413,"DisMean_m3s","Norway"
"135","Malselv","2021",3,30.25306246,"DisMean_m3s","Norway"
"136","Malselv","2021",4,50.56275464,"DisMean_m3s","Norway"
"137","Malselv","2021",5,83.98621969,"DisMean_m3s","Norway"
"138","Malselv","2021",6,275.6935151,"DisMean_m3s","Norway"
"139","Malselv","2021",7,113.2201843,"DisMean_m3s","Norway"
"140","Malselv","2021",8,52.58334546,"DisMean_m3s","Norway"
"141","Malselv","2021",9,45.22213157,"DisMean_m3s","Norway"
"142","Malselv","2021",10,36.16543424,"DisMean_m3s","Norway"
"143","Malselv","2021",11,34.80815557,"DisMean_m3s","Norway"
"144","Malselv","2021",12,31.78243768,"DisMean_m3s","Norway"
"145","Malselv","2019",1,0.34,"THg","Norway"
"146","Malselv","2019",2,0.23,"THg","Norway"
"147","Malselv","2019",3,0.82,"THg","Norway"
"148","Malselv","2019",4,0.5,"THg","Norway"
"149","Malselv","2019",5,0.65,"THg","Norway"
"150","Malselv","2019",6,1.59,"THg","Norway"
"151","Malselv","2019",7,0.46,"THg","Norway"
"152","Malselv","2019",8,0.24,"THg","Norway"
"153","Malselv","2019",9,0.34,"THg","Norway"
"154","Malselv","2019",10,0.39,"THg","Norway"
"155","Malselv","2019",11,0.46,"THg","Norway"
"156","Malselv","2019",12,NA,"THg","Norway"
"157","Altaelva","2019",1,0.42,"THg","Norway"
"158","Altaelva","2019",2,0.95,"THg","Norway"
"159","Altaelva","2019",3,0.92,"THg","Norway"
"160","Altaelva","2019",4,0.47,"THg","Norway"
"161","Altaelva","2019",5,0.82,"THg","Norway"
"162","Altaelva","2019",6,1.51,"THg","Norway"
"163","Altaelva","2019",7,1.31,"THg","Norway"
"164","Altaelva","2019",8,0.84,"THg","Norway"
"165","Altaelva","2019",9,0.71,"THg","Norway"
"166","Altaelva","2019",10,0.94,"THg","Norway"
"167","Altaelva","2019",11,0.47,"THg","Norway"
"168","Altaelva","2019",12,NA,"THg","Norway"
"169","Tanaelva","2019",1,0.45,"THg","Norway"
"170","Tanaelva","2019",2,1.74,"THg","Norway"
"171","Tanaelva","2019",3,1.6,"THg","Norway"
"172","Tanaelva","2019",4,0.69,"THg","Norway"
"173","Tanaelva","2019",5,2.27,"THg","Norway"
"174","Tanaelva","2019",6,2.25,"THg","Norway"
"175","Tanaelva","2019",7,1.07,"THg","Norway"
"176","Tanaelva","2019",8,0.18,"THg","Norway"
"177","Tanaelva","2019",9,0.65,"THg","Norway"
"178","Tanaelva","2019",10,1.61,"THg","Norway"
"179","Tanaelva","2019",11,0.6,"THg","Norway"
"180","Tanaelva","2019",12,NA,"THg","Norway"
"181","Pasvikelva","2019",1,0.35,"THg","Norway"
"182","Pasvikelva","2019",2,0.32,"THg","Norway"
"183","Pasvikelva","2019",3,1.13,"THg","Norway"
"184","Pasvikelva","2019",4,0.68,"THg","Norway"
"185","Pasvikelva","2019",5,2.67,"THg","Norway"
"186","Pasvikelva","2019",6,2.95,"THg","Norway"
"187","Pasvikelva","2019",7,0.87,"THg","Norway"
"188","Pasvikelva","2019",8,0.61,"THg","Norway"
"189","Pasvikelva","2019",9,0.54,"THg","Norway"
"190","Pasvikelva","2019",10,0.64,"THg","Norway"
"191","Pasvikelva","2019",11,0.38,"THg","Norway"
"192","Pasvikelva","2019",12,NA,"THg","Norway"
"193","Malselv","2020",1,0.46,"THg","Norway"
"194","Malselv","2020",2,0.21,"THg","Norway"
"195","Malselv","2020",3,NA,"THg","Norway"
"196","Malselv","2020",4,0.35,"THg","Norway"
"197","Malselv","2020",5,1.6,"THg","Norway"
"198","Malselv","2020",6,1.61,"THg","Norway"
"199","Malselv","2020",7,0.41,"THg","Norway"
"200","Malselv","2020",8,0.36,"THg","Norway"
"201","Malselv","2020",9,0.56,"THg","Norway"
"202","Malselv","2020",10,0.32,"THg","Norway"
"203","Malselv","2020",11,0.28,"THg","Norway"
"204","Malselv","2020",12,NA,"THg","Norway"
"205","Altaelva","2020",1,NA,"THg","Norway"
"206","Altaelva","2020",2,0.6,"THg","Norway"
"207","Altaelva","2020",3,0.52,"THg","Norway"
"208","Altaelva","2020",4,0.5,"THg","Norway"
"209","Altaelva","2020",5,0.4,"THg","Norway"
"210","Altaelva","2020",6,1.64,"THg","Norway"
"211","Altaelva","2020",7,1.15,"THg","Norway"
"212","Altaelva","2020",8,0.83,"THg","Norway"
"213","Altaelva","2020",9,0.7,"THg","Norway"
"214","Altaelva","2020",10,0.67,"THg","Norway"
"215","Altaelva","2020",11,0.6,"THg","Norway"
"216","Altaelva","2020",12,NA,"THg","Norway"
"217","Tanaelva","2020",1,0.72,"THg","Norway"
"218","Tanaelva","2020",2,NA,"THg","Norway"
"219","Tanaelva","2020",3,0.45,"THg","Norway"
"220","Tanaelva","2020",4,0.38,"THg","Norway"
"221","Tanaelva","2020",5,0.68,"THg","Norway"
"222","Tanaelva","2020",6,2.69,"THg","Norway"
"223","Tanaelva","2020",7,NA,"THg","Norway"
"224","Tanaelva","2020",8,0.88,"THg","Norway"
"225","Tanaelva","2020",9,0.69,"THg","Norway"
"226","Tanaelva","2020",10,0.61,"THg","Norway"
"227","Tanaelva","2020",11,0.69,"THg","Norway"
"228","Tanaelva","2020",12,NA,"THg","Norway"
"229","Pasvikelva","2020",1,0.34,"THg","Norway"
"230","Pasvikelva","2020",2,0.42,"THg","Norway"
"231","Pasvikelva","2020",3,0.9,"THg","Norway"
"232","Pasvikelva","2020",4,0.36,"THg","Norway"
"233","Pasvikelva","2020",5,0.71,"THg","Norway"
"234","Pasvikelva","2020",6,1.22,"THg","Norway"
"235","Pasvikelva","2020",7,0.91,"THg","Norway"
"236","Pasvikelva","2020",8,0.69,"THg","Norway"
"237","Pasvikelva","2020",9,NA,"THg","Norway"
"238","Pasvikelva","2020",10,0.45,"THg","Norway"
"239","Pasvikelva","2020",11,0.23,"THg","Norway"
"240","Pasvikelva","2020",12,NA,"THg","Norway"
"241","Altaelva","2021",2,0.6,"THg","Norway"
"242","Altaelva","2021",5,0.7,"THg","Norway"
"243","Altaelva","2021",8,0.79,"THg","Norway"
"244","Altaelva","2021",10,1.21,"THg","Norway"
"245","Pasvikelva","2021",2,0.38,"THg","Norway"
"246","Pasvikelva","2021",5,0.76,"THg","Norway"
"247","Pasvikelva","2021",8,0.56,"THg","Norway"
"248","Pasvikelva","2021",10,1.32,"THg","Norway"
"249","Tanaelva","2021",2,0.4,"THg","Norway"
"250","Tanaelva","2021",5,0.81,"THg","Norway"
"251","Tanaelva","2021",8,1.06,"THg","Norway"
"252","Tanaelva","2021",10,1.56,"THg","Norway"
"253","Northern Dvina","2020",1,4.86,"THg","Russia"
"254","Northern Dvina","2020",2,3.9,"THg","Russia"
"255","Northern Dvina","2020",3,4.1,"THg","Russia"
"256","Northern Dvina","2020",4,11.27,"THg","Russia"
"257","Northern Dvina","2020",5,8.15,"THg","Russia"
"258","Northern Dvina","2020",6,4.03,"THg","Russia"
"259","Northern Dvina","2020",7,2.18,"THg","Russia"
"260","Northern Dvina","2020",8,2.55,"THg","Russia"
"261","Northern Dvina","2020",9,5.29,"THg","Russia"
"262","Northern Dvina","2020",10,4.01,"THg","Russia"
"263","Northern Dvina","2020",11,NA,"THg","Russia"
"264","Northern Dvina","2020",12,NA,"THg","Russia"
"265","Tuloma","2019",1,NA,"THg","Russia"
"266","Tuloma","2019",2,NA,"THg","Russia"
"267","Tuloma","2019",3,NA,"THg","Russia"
"268","Tuloma","2019",4,NA,"THg","Russia"
"269","Tuloma","2019",5,NA,"THg","Russia"
"270","Tuloma","2019",6,NA,"THg","Russia"
"271","Tuloma","2019",7,NA,"THg","Russia"
"272","Tuloma","2019",8,0.75,"THg","Russia"
"273","Tuloma","2019",9,0.81,"THg","Russia"
"274","Tuloma","2019",10,0.72,"THg","Russia"
"275","Tuloma","2019",11,0.63,"THg","Russia"
"276","Tuloma","2019",12,NA,"THg","Russia"
"277","Northern Dvina","2020",1,2240,"DisMean_m3s","Russia"
"278","Northern Dvina","2020",2,2620,"DisMean_m3s","Russia"
"279","Northern Dvina","2020",3,2270,"DisMean_m3s","Russia"
"280","Northern Dvina","2020",4,7170,"DisMean_m3s","Russia"
"281","Northern Dvina","2020",5,17200,"DisMean_m3s","Russia"
"282","Northern Dvina","2020",6,6420,"DisMean_m3s","Russia"
"283","Northern Dvina","2020",7,2100,"DisMean_m3s","Russia"
"284","Northern Dvina","2020",8,2310,"DisMean_m3s","Russia"
"285","Northern Dvina","2020",9,3090,"DisMean_m3s","Russia"
"286","Northern Dvina","2020",10,3010,"DisMean_m3s","Russia"
"287","Northern Dvina","2020",11,3840,"DisMean_m3s","Russia"
"288","Northern Dvina","2020",12,1370,"DisMean_m3s","Russia"
"289","Tuloma","2019",1,102,"DisMean_m3s","Russia"
"290","Tuloma","2019",2,97.9,"DisMean_m3s","Russia"
"291","Tuloma","2019",3,85.1,"DisMean_m3s","Russia"
"292","Tuloma","2019",4,105,"DisMean_m3s","Russia"
"293","Tuloma","2019",5,443,"DisMean_m3s","Russia"
"294","Tuloma","2019",6,515,"DisMean_m3s","Russia"
"295","Tuloma","2019",7,256,"DisMean_m3s","Russia"
"296","Tuloma","2019",8,216,"DisMean_m3s","Russia"
"297","Tuloma","2019",9,230,"DisMean_m3s","Russia"
"298","Tuloma","2019",10,194,"DisMean_m3s","Russia"
"299","Tuloma","2019",11,182,"DisMean_m3s","Russia"
"300","Tuloma","2019",12,136,"DisMean_m3s","Russia"
